id,name,stargazerCount,createdAt,updatedAt,primaryLanguage
MDEwOlJlcG9zaXRvcnkzMzExMDcwMTg=,sway,62845,2021-01-19T20:54:33Z,2024-08-24T21:31:43Z,{'name': 'Rust'}
MDEwOlJlcG9zaXRvcnk0MzQ0MTQwMw==,strapi,62468,2015-09-30T15:34:48Z,2024-08-24T23:27:50Z,{'name': 'TypeScript'}
R_kgDOKVORZg,system-design-101,62269,2023-09-18T20:52:03Z,2024-08-25T03:39:00Z,
MDEwOlJlcG9zaXRvcnkzNjM4OTY0,ansible,62163,2012-03-06T14:58:02Z,2024-08-25T02:19:31Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnkxOTE1Mjk3MzI=,javascript-questions,61971,2019-06-12T08:26:27Z,2024-08-25T03:24:59Z,
R_kgDOJPJM2Q,the-algorithm,61952,2023-03-27T14:57:57Z,2024-08-24T21:12:36Z,{'name': 'Scala'}
MDEwOlJlcG9zaXRvcnk4MTU5ODk2MQ==,cpython,61890,2017-02-10T19:23:51Z,2024-08-25T02:08:15Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnkxMzM0MzY5,resume.github.com,61791,2011-02-06T13:39:55Z,2024-08-24T18:41:41Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnkzMjY4OTg2Mw==,manim,61520,2015-03-22T18:50:58Z,2024-08-25T03:07:56Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnkzMzAxNTU4Mw==,keras,61489,2015-03-28T00:35:42Z,2024-08-25T02:51:39Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnkzOTQ2NDAxOA==,superset,61346,2015-07-21T18:55:34Z,2024-08-25T03:33:26Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnkyNDYzMzU5ODc=,Ventoy,61289,2020-03-10T15:19:19Z,2024-08-25T03:05:28Z,{'name': 'C'}
R_kgDOJxbR3A,generative-ai-for-beginners,61167,2023-06-19T16:28:59Z,2024-08-25T03:37:11Z,{'name': 'Jupyter Notebook'}
MDEwOlJlcG9zaXRvcnk1NTc5ODA=,socket.io,60789,2010-03-11T18:24:48Z,2024-08-24T09:50:34Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnkzNjUzNTE1Ng==,redux,60751,2015-05-29T23:53:15Z,2024-08-25T03:21:49Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnkxMDExMzgzMTU=,d2l-zh,60710,2017-08-23T04:40:24Z,2024-08-25T02:35:00Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnk4Mzk5OTcwMA==,Best-websites-a-programmer-should-visit,60621,2017-03-05T20:25:17Z,2024-08-25T02:39:01Z,
